#
# Output file generated by Yacora 1.5.0
# =====================================
#   Filename: 'YacoraRun_PopCoeff_n=8.dat'
#   Date of creation: 10. May 2022
#   Time of creation: 17:42:20
#   Used input file: 'H_20_11_2019.txt'
#   Performed calculation: Population Coefficient for state 'H(8)' coupled to the particle 'H-'
#
#   Please cite D. Wünderlich, M. Giacomin, R. Ritz and U. Fantz, J. Quant. Spectrosc. Radiat. Transfer 240, 2020, 106695, if you use Yacora results.
#
# Description of the used Parameters:
# ===================================
#
#   Temperatures and Densities: 
#              T_e: 10 calculated values between 1.0000 and 10.0000
#              T_i1: Fixed value 8000.0000
#              T_i4: Fixed value 8000.0000
#              T_n1: Fixed value 8000.0000
#              n_e: 10 calculated values between 1.0000e+18 and 1.0000e+20
#              n_i1: Fixed value 0.0000
#              n_i4: Fixed value 1.0000e+15

#   Electron energy distribution function: 
#              Maxwellian
#
# Calculated Data:
# ================
#  T_e           n_e           POP_COEFF      
   1.0000        1.0000e+18    6.91405676e-25     
   1.0000        1.6681e+18    9.17702920e-25     
   1.0000        2.7826e+18    1.17367818e-24     
   1.0000        4.6416e+18    1.42128808e-24     
   1.0000        7.7426e+18    1.60848432e-24     
   1.0000        1.2915e+19    1.68853352e-24     
   1.0000        2.1544e+19    1.63791633e-24     
   1.0000        3.5938e+19    1.46469188e-24     
   1.0000        5.9948e+19    1.20705161e-24     
   1.0000        1.0000e+20    9.20518953e-25     
   1.2915        1.0000e+18    9.07686021e-25     
   1.2915        1.6681e+18    1.18333350e-24     
   1.2915        2.7826e+18    1.47769728e-24     
   1.2915        4.6416e+18    1.73855063e-24     
   1.2915        7.7426e+18    1.90510373e-24     
   1.2915        1.2915e+19    1.93198825e-24     
   1.2915        2.1544e+19    1.80685466e-24     
   1.2915        3.5938e+19    1.55571699e-24     
   1.2915        5.9948e+19    1.23518723e-24     
   1.2915        1.0000e+20    9.10830322e-25     
   1.6681        1.0000e+18    1.13397184e-24     
   1.6681        1.6681e+18    1.45512193e-24     
   1.6681        2.7826e+18    1.77897591e-24     
   1.6681        4.6416e+18    2.04024880e-24     
   1.6681        7.7426e+18    2.17281728e-24     
   1.6681        1.2915e+19    2.13674604e-24     
   1.6681        2.1544e+19    1.93439478e-24     
   1.6681        3.5938e+19    1.61119896e-24     
   1.6681        5.9948e+19    1.23956737e-24     
   1.6681        1.0000e+20    8.89529562e-25     
   2.1544        1.0000e+18    1.36263822e-24     
   2.1544        1.6681e+18    1.72480746e-24     
   2.1544        2.7826e+18    2.07029027e-24     
