#
# Output file generated by Yacora 1.5.0
# =====================================
#   Filename: 'YacoraRun_PopCoeff_n=5.dat'
#   Date of creation: 10. May 2022
#   Time of creation: 13:36:31
#   Used input file: 'H_20_11_2019.txt'
#   Performed calculation: Population Coefficient for state 'H(5)' coupled to the particle 'H(1)'
#
#   Please cite D. Wünderlich, M. Giacomin, R. Ritz and U. Fantz, J. Quant. Spectrosc. Radiat. Transfer 240, 2020, 106695, if you use Yacora results.
#
# Description of the used Parameters:
# ===================================
#
#   Temperatures and Densities: 
#              T_e: 20 calculated values between 1.0000 and 20.0000
#              T_n1: Fixed value 8000.0000
#              n_e: 3 given values between 1.0000e+18 and 1.0000e+20
#              n_i1: Fixed value 0.0000
#              n_n1: 3 given values between 1.0000e+18 and 1.0000e+20

#   Electron energy distribution function: 
#              Maxwellian
#
# Calculated Data:
# ================
#  T_e           n_e           n_n1          POP_COEFF      
   1.0000        1.0000e+18    1.0000e+18    1.65064259e-28     
   1.0000        1.0000e+18    1.0000e+19    1.65064259e-28     
   1.0000        1.0000e+18    1.0000e+20    1.65064259e-28     
   1.0000        1.0000e+19    1.0000e+18    6.53625207e-29     
   1.0000        1.0000e+19    1.0000e+19    6.53625207e-29     
   1.0000        1.0000e+19    1.0000e+20    6.53625207e-29     
   1.0000        1.0000e+20    1.0000e+18    2.33599268e-29     
   1.0000        1.0000e+20    1.0000e+19    2.33599268e-29     
   1.0000        1.0000e+20    1.0000e+20    2.33599268e-29     
   1.1708        1.0000e+18    1.0000e+18    1.00901486e-27     
   1.1708        1.0000e+18    1.0000e+19    1.00901486e-27     
   1.1708        1.0000e+18    1.0000e+20    1.00901486e-27     
   1.1708        1.0000e+19    1.0000e+18    3.80191339e-28     
   1.1708        1.0000e+19    1.0000e+19    3.80191339e-28     
   1.1708        1.0000e+19    1.0000e+20    3.80191339e-28     
   1.1708        1.0000e+20    1.0000e+18    1.25975682e-28     
   1.1708        1.0000e+20    1.0000e+19    1.25975682e-28     
   1.1708        1.0000e+20    1.0000e+20    1.25975682e-28     
   1.3707        1.0000e+18    1.0000e+18    4.71215929e-27     
   1.3707        1.0000e+18    1.0000e+19    4.71215929e-27     
   1.3707        1.0000e+18    1.0000e+20    4.71215929e-27     
   1.3707        1.0000e+19    1.0000e+18    1.69760053e-27     
   1.3707        1.0000e+19    1.0000e+19    1.69760053e-27     
   1.3707        1.0000e+19    1.0000e+20    1.69760053e-27     
   1.3707        1.0000e+20    1.0000e+18    5.25262657e-28     
   1.3707        1.0000e+20    1.0000e+19    5.25262657e-28     
   1.3707        1.0000e+20    1.0000e+20    5.25262657e-28     
   1.6048        1.0000e+18    1.0000e+18    1.75124084e-26     
   1.6048        1.0000e+18    1.0000e+19    1.75124084e-26     
   1.6048        1.0000e+18    1.0000e+20    1.75124084e-26     
   1.6048        1.0000e+19    1.0000e+18    6.05964577e-27     
   1.6048        1.0000e+19    1.0000e+19    6.05964577e-27     
   1.6048        1.0000e+19    1.0000e+20    6.05964577e-27     
   1.6048        1.0000e+20    1.0000e+18    1.76386252e-27     
   1.6048        1.0000e+20    1.0000e+19    1.76386252e-27     
   1.6048        1.0000e+20    1.0000e+20    1.76386252e-27     
   1.8789        1.0000e+18    1.0000e+18    5.36253356e-26     
   1.8789        1.0000e+18    1.0000e+19    5.36253356e-26     
   1.8789        1.0000e+18    1.0000e+20    5.36253356e-26     
   1.8789        1.0000e+19    1.0000e+18    1.78988569e-26     
   1.8789        1.0000e+19    1.0000e+19    1.78988569e-26     
   1.8789        1.0000e+19    1.0000e+20    1.78988569e-26     
   1.8789        1.0000e+20    1.0000e+18    4.93781496e-27     
   1.8789        1.0000e+20    1.0000e+19    4.93781496e-27     
   1.8789        1.0000e+20    1.0000e+20    4.93781496e-27     
   2.1998        1.0000e+18    1.0000e+18    1.39376003e-25     
   2.1998        1.0000e+18    1.0000e+19    1.39376003e-25     
   2.1998        1.0000e+18    1.0000e+20    1.39376003e-25     
   2.1998        1.0000e+19    1.0000e+18    4.50543638e-26     
   2.1998        1.0000e+19    1.0000e+19    4.50543638e-26     
   2.1998        1.0000e+19    1.0000e+20    4.50543638e-26     
   2.1998        1.0000e+20    1.0000e+18    1.18643265e-26     
   2.1998        1.0000e+20    1.0000e+19    1.18643265e-26     
   2.1998        1.0000e+20    1.0000e+20    1.18643265e-26     
   2.5754        1.0000e+18    1.0000e+18    3.15300052e-25     
   2.5754        1.0000e+18    1.0000e+19    3.15300052e-25     
   2.5754        1.0000e+18    1.0000e+20    3.15300052e-25     
   2.5754        1.0000e+19    1.0000e+18    9.90792822e-26     
   2.5754        1.0000e+19    1.0000e+19    9.90792822e-26     
   2.5754        1.0000e+19    1.0000e+20    9.90792822e-26     
   2.5754        1.0000e+20    1.0000e+18    2.50735066e-26     
   2.5754        1.0000e+20    1.0000e+19    2.50735066e-26     
   2.5754        1.0000e+20    1.0000e+20    2.50735066e-26     
   3.0153        1.0000e+18    1.0000e+18    6.34244552e-25     
   3.0153        1.0000e+18    1.0000e+19    6.34244552e-25     
   3.0153        1.0000e+18    1.0000e+20    6.34244552e-25     
   3.0153        1.0000e+19    1.0000e+18    1.94403876e-25     
   3.0153        1.0000e+19    1.0000e+19    1.94403876e-25     
   3.0153        1.0000e+19    1.0000e+20    1.94403876e-25     
   3.0153        1.0000e+20    1.0000e+18    4.75740123e-26     
   3.0153        1.0000e+20    1.0000e+19    4.75740123e-26     
   3.0153        1.0000e+20    1.0000e+20    4.75740123e-26     
   3.5302        1.0000e+18    1.0000e+18    1.15506018e-24     
   3.5302        1.0000e+18    1.0000e+19    1.15506018e-24     
   3.5302        1.0000e+18    1.0000e+20    1.15506018e-24     
   3.5302        1.0000e+19    1.0000e+18    3.46397784e-25     
   3.5302        1.0000e+19    1.0000e+19    3.46397784e-25     
   3.5302        1.0000e+19    1.0000e+20    3.46397784e-25     
   3.5302        1.0000e+20    1.0000e+18    8.24389500e-26     
   3.5302        1.0000e+20    1.0000e+19    8.24389500e-26     
   3.5302        1.0000e+20    1.0000e+20    8.24389500e-26     
   4.1331        1.0000e+18    1.0000e+18    1.93355418e-24     
   4.1331        1.0000e+18    1.0000e+19    1.93355418e-24     
   4.1331        1.0000e+18    1.0000e+20    1.93355418e-24     
   4.1331        1.0000e+19    1.0000e+18    5.68906552e-25     
   4.1331        1.0000e+19    1.0000e+19    5.68906552e-25     
